title,description,location,lat,lng,pubDate,guid,imgLink,actURL
Better Oblivion Community Center,Tiny Desk alums Conor Oberst and Phoebe Bridgers surprised us all with their stunning collaboration this year as Better Oblivion Community Center. Together they radiate joy at the desk.,Los Angeles,34.0522342,-118.2436849,"Wed, 24 Apr 2019 11:50:00 -0400",6012dbcd-8f74-43dc-94a5-4a19f3d337c1,https://media.npr.org/assets/img/2019/04/22/betteroblivioncommunitycenter_wide-3762b55a30e11c481213b6a330727a7d9a9907d4.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190417_ascvid_betteroblivionpodcast.mp4?orgId=1&p=510292&story=716050773&t=podcast&e=716050773&ft=pod&f=510292
Gary Clark Jr.,"These three songs, from Clark's incendiary new album <em>This Land</em>, roar with the assurance and force of a showman at the top of his game.",Austin,30.267153,-97.7430608,"Tue, 16 Apr 2019 09:13:00 -0400",897052ef-6b47-4a0a-b16c-8c3064668c13,https://media.npr.org/assets/img/2019/04/16/gary_wide-9dbcb36440f0232f4582653d60c8f83da09cd7d3.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190415_ascvid_garyclarkjr.mp4?orgId=1&p=510292&story=713861305&t=podcast&e=713861305&ft=pod&f=510292
Georgia Anne Muldrow,The R&B singer from Los Angeles is all about showing and spreading love.,Los Angeles,34.0522342,-118.2436849,"Mon, 08 Apr 2019 11:47:00 -0400",ae1ba7f8-8c6f-4bb6-b663-da6020c37226,https://media.npr.org/assets/img/2019/04/08/georgia_wide-fe1a40d0aa13340b160156164ad40a5cdda0d4d3.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190401_ascvid_georgiapodcast.mp4?orgId=1&p=510292&story=711035060&t=podcast&e=711035060&ft=pod&f=510292
Courtney Marie Andrews,It was a day when sunlight drenched the office and the songs of heart from Courtney Marie Andrews felt right at home.,Phoenix,33.4483771,-112.0740373,"Wed, 03 Apr 2019 09:43:00 -0400",8d96d33a-5964-4184-8667-fc00b82a9b99,https://media.npr.org/assets/img/2019/04/03/courtney_wide-456bf34f48ec259eafa1eaeb877bd857bee1177c.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190402_ascvid_courtneypodcast.mp4?orgId=1&p=510292&story=709400711&t=podcast&e=709400711&ft=pod&f=510292
Weezer,"Performing unplugged, the band forgoes its usual meticulousness in favor of a shaggy, entirely acoustic mix of new songs and '90s-era deep cuts.",Los Angeles,34.0522342,-118.2436849,"Mon, 01 Apr 2019 13:12:00 -0400",9c89dc30-9333-4a8d-88ac-2f0c2717c7ee,https://media.npr.org/assets/img/2019/04/01/weezer_wide-3bbcf21411021b5354adab9fda2a27ddef7c62e5.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190329_ascvid_weezerpodcast.mp4?orgId=1&p=510292&story=708798870&t=podcast&e=708798870&ft=pod&f=510292
&More (Chill Moody & Donn T),"Philadelphia Rapper Chill Moody and singer Donn T, along with their crew known as &More, were one of the standout entrants in last year's Tiny Desk Contest. They bring a message of hope and love.",Angers,47.4711616,-0.5518257,"Mon, 25 Mar 2019 15:21:00 -0400",30fc6ad3-06fc-404b-a389-638b05f890d8,https://media.npr.org/assets/img/2019/03/25/-more_wide-74e4d4e80d07416f4bea041857376ee5ff237242.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/0?orgId=1&p=510292&story=706604811&t=podcast&e=706604811&ft=pod&f=510292
Alejandro Escovedo,"The veteran rocker and a backup band from Italy play songs from their album <em>The Crossing, </em>chronicling an American Dream of rock and roll and Beat poetry.",San Antonio,29.4241219,-98.4936282,"Wed, 20 Mar 2019 09:29:00 -0400",61ef5f4b-48ce-41eb-92fd-f365016e07ee,https://media.npr.org/assets/img/2019/03/20/alejandroescovedo-charbage_wide-44692e8580b1cb9657f0e40a2455db2334b8c3f0.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190319_ascvid_alejandropodcast-n.mp4?orgId=1&p=510292&story=705067463&t=podcast&e=705067463&ft=pod&f=510292
Kaia Kater,"Multi-hyphenate artist Kaia Kater uses the architecture of roots music, which she studied in West Virginia, to establish a simultaneous dialogue with both the present moment and her own past.",Montreal,45.5016889,-73.567256,"Thu, 14 Mar 2019 12:45:00 -0400",3506d1ec-5dbc-40c0-beab-2e6146c54788,https://media.npr.org/assets/img/2019/03/14/kaiakater_wide-c1708d2f8ecc285e9221aeaf18d9bf7546860253.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190320_ascvid_kaiapodcast-n.mp4?orgId=1&p=510292&story=703398246&t=podcast&e=703398246&ft=pod&f=510292
Meg Myers,"Myers replaces her album's roaring electric guitars and electronics with a pulsing string quartet, piano and brushed drums — and uncorks a cover of Kate Bush's ""Running Up That Hill.""",Nashville,36.1626638,-86.7816016,"Wed, 06 Mar 2019 14:01:00 -0500",1a725ea8-66d1-4767-8239-60610e525acd,https://media.npr.org/assets/img/2019/03/06/meg-myers-cpollack_wide-09fd1c93f192ffbb722b4b9b1ed7e5bb2f644ac0.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190305_ascvid_megmyers2-n.mp4?orgId=1&p=510292&story=700813800&t=podcast&e=700813800&ft=pod&f=510292
Phony Ppl,"The Brooklynites stand out for their inventive and seamless blend of jazz, R&B and hip-hop.",Brooklyn,40.6781784,-73.9441579,"Mon, 04 Mar 2019 14:41:00 -0500",8a744987-ab50-4142-80ea-06b81b25eaad,https://media.npr.org/assets/img/2019/03/04/phonyppl_wide-c89f5eb606b3ec5dc270aee085f0b5f5ea180664.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190301_ascvid_phonypodcast-n.mp4?orgId=1&p=510292&story=700127427&t=podcast&e=700127427&ft=pod&f=510292
Zaytoven,The Atlanta trap super-producer and son of a preacher man saved the day with a soulful Tiny Desk.,Germany,51.165691,10.451526,"Thu, 28 Feb 2019 12:23:00 -0500",0ba774d7-664d-443e-bb6c-868ae8151e16,https://media.npr.org/assets/img/2019/02/28/zaytoven_bboilen_wide-1dfee935450bc76bc8023e36e4ba069fc9696e04.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/02/20190226_ascvid_zaypodcast-n.mp4?orgId=1&p=510292&story=698968696&t=podcast&e=698968696&ft=pod&f=510292
Natalie Prass,"Decked out in matching, cobalt blue outfits, the singer and her band had a clear vision: If you want to overcome the times, find strength in numbers.",Cleveland,41.49932,-81.6943605,"Mon, 25 Feb 2019 11:17:00 -0500",0bf4990d-69c7-4889-b60c-07913f213ee1,https://media.npr.org/assets/img/2019/02/25/natalieprass_aalfky_wide-6cd6247a24091448e97cda8ac16502e0bd82fbaf.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/02/20190222_ascvid_natalieprasspodcast-n.mp4?orgId=1&d=741&p=510292&story=697689576&t=podcast&e=697689576&ft=pod&f=510292
Scott Mulvahill,"Scott Mulvahill has been trying to win the Tiny Desk Contest for each of its four years. And while he's never won, we all loved him so much we had to invite him to play.",Houston,29.7604267,-95.3698028,"Thu, 21 Feb 2019 10:19:00 -0500",a4d9e33c-7c36-45aa-9104-5d14cb43090f,https://media.npr.org/assets/img/2019/02/21/scott_aalfiky_wide-4bcae8c16402272f9bbd91e7b4d54dee8c62e299.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/02/20190214_ascvid_scottmulvahill-n.mp4?orgId=1&p=510292&story=696582915&t=podcast&e=696582915&ft=pod&f=510292
Mountain Man,"The voices of Amelia Meath, Molly Erin Sarlé and Alexandra Sauser-Monnig come together behind the Tiny Desk, with songs that conjure a simpler life: dogs, friends, moonlight or skinny dipping.",Bennington,42.8781345,-73.1967741,"Thu, 14 Feb 2019 10:02:00 -0500",14a177d2-b454-4c95-82c7-aeb65329f7da,https://media.npr.org/assets/img/2019/02/14/mountain_man-aalfiky_wide-a5ca32104f587a174c5af45af43542e350e02db4.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/02/20190212_ascvid_mountainmanpod-n.mp4?orgId=1&p=510292&story=694680420&t=podcast&e=694680420&ft=pod&f=510292
Kurt Vile,"Kurt Vile and his musical mate, Rob Laakso casually lose themselves in complex guitar lines that are effortlessly beautiful and lyrical.",Lansdowne,39.0832176,-77.4793641,"Wed, 06 Feb 2019 10:51:00 -0500",9da5b05c-8257-4ed7-89f5-97289c20918c,https://media.npr.org/assets/img/2019/02/06/kurt_cpollack_wide-e989aba2e90369dd41f79c2a28389b43e677319e.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/02/20190205_ascvid_kurtvile-n.mp4?orgId=1&p=510292&story=691971293&t=podcast&e=691971293&ft=pod&f=510292
Cat Power,"Chan Marshall and her band perform a brisk and beautifully orchestrated medley of Cat Power songs: ""Wanderer,"" ""Woman"" and 2006's ""The Moon.""",Atlanta,33.7489954,-84.3879824,"Mon, 04 Feb 2019 12:18:00 -0500",212e0966-35d9-45f9-a5d7-fd1de5639840,https://media.npr.org/assets/img/2019/02/04/catpower_wide-257359c44b883332c7bc686a86a637417f142b52.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/02/20190201_ascvid_catpowerpod-n.mp4?orgId=1&p=510292&story=691296395&t=podcast&e=691296395&ft=pod&f=510292
Blood Orange,This Blood Orange Tiny Desk is a beautifully conceived concert showing off the craft and care that has made Devonté Hynes a groundbreaking producer and songwriter.,Ilford,51.556619,0.076251,"Wed, 30 Jan 2019 11:00:00 -0500",6cd4f9c5-431f-40a6-ae75-580ff40af024,https://media.npr.org/assets/img/2019/01/30/bloodorange_hkim_wide-5f6b4e8e3760c6a77bc6ca61d75b7905cfe3aee0.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/01/20190125_ascvid_bloodorange-n.mp4?orgId=1&p=510292&story=689947683&t=podcast&e=689947683&ft=pod&f=510292
Stella Donnelly,"Watch the Australian singer-songwriter perform three new songs from her upcoming full-length debut, <em>Beware of the Dogs.</em>",Swansea,51.62144,-3.943646,"Wed, 23 Jan 2019 15:28:00 -0500",cc2ca193-c958-4a58-a137-ad89f616e870,https://media.npr.org/assets/img/2019/01/23/stella-donnelly-cpollack_wide-41d1747487e1a989a9b93f24fee802f1fc28b80c.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/01/20190117_ascvid_stellapodcast-n.mp4?orgId=1&d=639&p=510292&story=687927874&t=podcast&e=687927874&ft=pod&f=510292
Buddy,"The preacher's son from Compton brought his flair for the dramatic, and an air of rebellion, to the Tiny Desk.",Lubbock,33.5778631,-101.8551665,"Thu, 10 Jan 2019 11:10:00 -0500",0ef34a72-503d-44c5-afb5-31b4615e80bb,https://media.npr.org/assets/img/2019/01/10/buddy_cpollack_wide-25e3167cc539451fa362fe066a84eef71436104e.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/01/20190108_ascvid_buddypodcast-n.mp4?orgId=1&p=510292&story=683957326&t=podcast&e=683957326&ft=pod&f=510292
Wu-Tang Clan,The Clan celebrates its 25th anniversary with an old-school cipher at the Tiny Desk.,Staten Island,40.5795317,-74.1502007,"Wed, 05 Dec 2018 13:09:00 -0500",7b1ede94-6a90-450c-a164-bed7c1cd9750,https://media.npr.org/assets/img/2018/12/05/wutangclan-cpollack_wide-7a36a87c7184788d42ff7fb8606159f9f2c27372.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/12/20181205_ascvid_wutangpodcast-n.mp4?orgId=1&p=510292&story=673704227&t=podcast&e=673704227&ft=pod&f=510292
