title,description,pubDate,guid,imgLink,actURL
Better Oblivion Community Center,Tiny Desk alums Conor Oberst and Phoebe Bridgers surprised us all with their stunning collaboration this year as Better Oblivion Community Center. Together they radiate joy at the desk.,"Wed, 24 Apr 2019 11:50:00 -0400",6012dbcd-8f74-43dc-94a5-4a19f3d337c1,https://media.npr.org/assets/img/2019/04/22/betteroblivioncommunitycenter_wide-3762b55a30e11c481213b6a330727a7d9a9907d4.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190417_ascvid_betteroblivionpodcast.mp4?orgId=1&p=510292&story=716050773&t=podcast&e=716050773&ft=pod&f=510292
The Calidore String Quartet,"The Calidore String Quartet confirms that the centuries-old formula – two violins, a viola and a cello – is still very much alive and evolving.","Mon, 22 Apr 2019 14:35:00 -0400",0a8c36ce-5e2c-4ee9-8b8d-e279e67085d8,https://media.npr.org/assets/img/2019/04/22/calidore_wide-33b723df5e19c760a3ac5b2f454c2737b1eaaeb7.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190417_ascvid_calidorepodcast.mp4?orgId=1&p=510292&story=716052130&t=podcast&e=716052130&ft=pod&f=510292
Theodore,"The music of Theodore is dark and transformative, with the kind of spare elegance you can hear in Sigur Rós or Pink Floyd.","Wed, 17 Apr 2019 09:31:00 -0400",bd897350-d6ab-43a1-9726-84131f525ee6,https://media.npr.org/assets/img/2019/04/17/theodore_wide-5ecef5e2b88eddfadf5b7bf9dbfee6f3b1a36bc0.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190416_ascvid_theodorepodcast.mp4?orgId=1&p=510292&story=714263344&t=podcast&e=714263344&ft=pod&f=510292
Gary Clark Jr.,"These three songs, from Clark's incendiary new album <em>This Land</em>, roar with the assurance and force of a showman at the top of his game.","Tue, 16 Apr 2019 09:13:00 -0400",897052ef-6b47-4a0a-b16c-8c3064668c13,https://media.npr.org/assets/img/2019/04/16/gary_wide-9dbcb36440f0232f4582653d60c8f83da09cd7d3.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190415_ascvid_garyclarkjr.mp4?orgId=1&p=510292&story=713861305&t=podcast&e=713861305&ft=pod&f=510292
Karine Polwart Trio,"Scottish singer, songwriter and essayist Karine Polwart seldom comes stateside, eschewing air travel to reduce her carbon footprint. But on a rare, recent visit, she stopped in D.C. for a Tiny Desk.","Wed, 10 Apr 2019 10:38:00 -0400",2bb3450f-675d-4d56-b920-e3422030c773,https://media.npr.org/assets/img/2019/04/10/trio_wide-738526065e618ffb6d9f63ef0a84d3fa4c15c0aa.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190409_ascvid_karinpolwarttriopodcast.mp4?orgId=1&p=510292&story=711774686&t=podcast&e=711774686&ft=pod&f=510292
Georgia Anne Muldrow,The R&B singer from Los Angeles is all about showing and spreading love.,"Mon, 08 Apr 2019 11:47:00 -0400",ae1ba7f8-8c6f-4bb6-b663-da6020c37226,https://media.npr.org/assets/img/2019/04/08/georgia_wide-fe1a40d0aa13340b160156164ad40a5cdda0d4d3.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190401_ascvid_georgiapodcast.mp4?orgId=1&p=510292&story=711035060&t=podcast&e=711035060&ft=pod&f=510292
Courtney Marie Andrews,It was a day when sunlight drenched the office and the songs of heart from Courtney Marie Andrews felt right at home.,"Wed, 03 Apr 2019 09:43:00 -0400",8d96d33a-5964-4184-8667-fc00b82a9b99,https://media.npr.org/assets/img/2019/04/03/courtney_wide-456bf34f48ec259eafa1eaeb877bd857bee1177c.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/04/20190402_ascvid_courtneypodcast.mp4?orgId=1&p=510292&story=709400711&t=podcast&e=709400711&ft=pod&f=510292
Weezer,"Performing unplugged, the band forgoes its usual meticulousness in favor of a shaggy, entirely acoustic mix of new songs and '90s-era deep cuts.","Mon, 01 Apr 2019 13:12:00 -0400",9c89dc30-9333-4a8d-88ac-2f0c2717c7ee,https://media.npr.org/assets/img/2019/04/01/weezer_wide-3bbcf21411021b5354adab9fda2a27ddef7c62e5.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190329_ascvid_weezerpodcast.mp4?orgId=1&p=510292&story=708798870&t=podcast&e=708798870&ft=pod&f=510292
Andrea Cruz,The singer from Puerto Rico is part of a movement on the island that emphasizes largely acoustic instruments and a folk-based approach to interpreting life before and after the hurricane of 2017.,"Wed, 27 Mar 2019 10:55:00 -0400",d1482662-ea89-427a-b4cc-e1b97f5e64f1,https://media.npr.org/assets/img/2019/03/27/andreacruz-charbage_wide-c928e26c63969a2fe1fa89dcbcecc697b63f49c4.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190318_ascvid_andreacruzpodcast.mp4?orgId=1&p=510292&story=707163354&t=podcast&e=707163354&ft=pod&f=510292
&More (Chill Moody & Donn T),"Philadelphia Rapper Chill Moody and singer Donn T, along with their crew known as &More, were one of the standout entrants in last year's Tiny Desk Contest. They bring a message of hope and love.","Mon, 25 Mar 2019 15:21:00 -0400",30fc6ad3-06fc-404b-a389-638b05f890d8,https://media.npr.org/assets/img/2019/03/25/-more_wide-74e4d4e80d07416f4bea041857376ee5ff237242.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/0?orgId=1&p=510292&story=706604811&t=podcast&e=706604811&ft=pod&f=510292
Alejandro Escovedo,"The veteran rocker and a backup band from Italy play songs from their album <em>The Crossing, </em>chronicling an American Dream of rock and roll and Beat poetry.","Wed, 20 Mar 2019 09:29:00 -0400",61ef5f4b-48ce-41eb-92fd-f365016e07ee,https://media.npr.org/assets/img/2019/03/20/alejandroescovedo-charbage_wide-44692e8580b1cb9657f0e40a2455db2334b8c3f0.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190319_ascvid_alejandropodcast-n.mp4?orgId=1&p=510292&story=705067463&t=podcast&e=705067463&ft=pod&f=510292
Nao,The U.K.-based singer-songwriter takes the Tiny Desk on a cosmic journey through her <em>Saturn </em>return.,"Tue, 19 Mar 2019 13:19:00 -0400",28339f42-dbd6-4b18-b9d8-a00bc68904a2,https://media.npr.org/assets/img/2019/03/19/nao_wide-1d145ea56afe58bee3a57de94f243b2fa20f271e.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190319_ascvid_naopodcast.mp4?orgId=1&p=510292&story=704824283&t=podcast&e=704824283&ft=pod&f=510292
Kaia Kater,"Multi-hyphenate artist Kaia Kater uses the architecture of roots music, which she studied in West Virginia, to establish a simultaneous dialogue with both the present moment and her own past.","Thu, 14 Mar 2019 12:45:00 -0400",3506d1ec-5dbc-40c0-beab-2e6146c54788,https://media.npr.org/assets/img/2019/03/14/kaiakater_wide-c1708d2f8ecc285e9221aeaf18d9bf7546860253.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190320_ascvid_kaiapodcast-n.mp4?orgId=1&p=510292&story=703398246&t=podcast&e=703398246&ft=pod&f=510292
Leikeli47,"The artist came to the Tiny Desk masked up, as always, the better to catch a glimpse of her soul.","Mon, 11 Mar 2019 13:03:00 -0400",97c7681d-561c-4c88-9a53-576cfccb3dcb,https://media.npr.org/assets/img/2019/03/11/leikeili47_wide-e059085396d261aacc50c48e3b210f6aba5d6f1f.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190308_ascvid_leikeli47-n.mp4?orgId=1&p=510292&story=702257475&t=podcast&e=702257475&ft=pod&f=510292
Meg Myers,"Myers replaces her album's roaring electric guitars and electronics with a pulsing string quartet, piano and brushed drums — and uncorks a cover of Kate Bush's ""Running Up That Hill.""","Wed, 06 Mar 2019 14:01:00 -0500",1a725ea8-66d1-4767-8239-60610e525acd,https://media.npr.org/assets/img/2019/03/06/meg-myers-cpollack_wide-09fd1c93f192ffbb722b4b9b1ed7e5bb2f644ac0.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190305_ascvid_megmyers2-n.mp4?orgId=1&p=510292&story=700813800&t=podcast&e=700813800&ft=pod&f=510292
Phony Ppl,"The Brooklynites stand out for their inventive and seamless blend of jazz, R&B and hip-hop.","Mon, 04 Mar 2019 14:41:00 -0500",8a744987-ab50-4142-80ea-06b81b25eaad,https://media.npr.org/assets/img/2019/03/04/phonyppl_wide-c89f5eb606b3ec5dc270aee085f0b5f5ea180664.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/03/20190301_ascvid_phonypodcast-n.mp4?orgId=1&p=510292&story=700127427&t=podcast&e=700127427&ft=pod&f=510292
Zaytoven,The Atlanta trap super-producer and son of a preacher man saved the day with a soulful Tiny Desk.,"Thu, 28 Feb 2019 12:23:00 -0500",0ba774d7-664d-443e-bb6c-868ae8151e16,https://media.npr.org/assets/img/2019/02/28/zaytoven_bboilen_wide-1dfee935450bc76bc8023e36e4ba069fc9696e04.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/02/20190226_ascvid_zaypodcast-n.mp4?orgId=1&p=510292&story=698968696&t=podcast&e=698968696&ft=pod&f=510292
